id,description
1475,"Study of the structure, composition, and physical processes governing the terrestrial planets, including their formation and basic orbital properties. Topics include plate tectonics, earthquakes, seismic waves, rheology, impact cratering, gravity and magnetic fields, heat flux, thermal structure, mantle convection, deep interiors, planetary magnetism, and core dynamics. Suitable for majors and non-majors seeking general background in geophysics and planetary structure."
1476,"Introduces the dynamical processes that govern the atmosphere, oceans, and climate. Topics include Earth's radiation budget, convection and clouds, the circulation of the atmosphere and ocean, and climate change. Illustrates underlying mechanisms through laboratory demonstrations with a rotating table, and through analysis of atmospheric and oceanic data."
1477,"Introduction to nonlinear dynamics and chaos in dissipative systems. Forced and parametric oscillators. Phase space. Periodic, quasiperiodic, and aperiodic flows. Sensitivity to initial conditions and strange attractors. Lorenz attractor. Period doubling, intermittency, and quasiperiodicity. Scaling and universality. Analysis of experimental data: Fourier transforms, Poincare sections, fractal dimension, and Lyapunov exponents. Applications to mechanical systems, fluid dynamics, physics, geophysics, and chemistry. See 12.207[J]/18.354[J] for Nonlinear Dynamics: Continuum Systems."
1478,"Surveys the interactive Earth system: biology in geologic, environmental and climate change throughout Earth's history. Introduces the concept of &quot;life as a geological agent&quot; and examines the interaction between biology and the Earth system during the roughly 4 billion years since life first appeared. Topics include the origin of the solar system and the early Earth atmosphere; the origin and evolution of life and its influence on climate up through and including the modern age and the problem of global warming; the global carbon cycle; and astrobiology."
1479,"Analyzes cooperative processes that shape the natural environment, now and in the geologic past. Emphasizes the development of theoretical models that relate the physical and biological worlds, the comparison of theory to observational data, and associated mathematical methods. Topics include carbon cycle dynamics; ecosystem structure, stability and complexity; mass extinctions; biosphere-geosphere coevolution; and climate change. Employs techniques such as stability analysis; scaling; null model construction; time series and network analysis."
1480,"Introduces programming languages and techniques used by physical scientists: FORTRAN, C, C++, MatLab, and Mathematica. Emphasis on program design, algorithm development and verification, and comparative advantages and disadvantages of different languages. Students first learn the basic usage of each language, common types of problems encountered, and techniques for solving a variety of problems encountered in contemporary research: examination of data with visualization techniques, numerical analysis, and methods of dissemination and verification. No prior programming experience is required."
1481,"See description under subject 3.985[J]."
1482,"Introduces the basic tools needed for data analysis and interpretation in the Geosciences, as well as other sciences. Composed of four modules, targeted at introducing students to the basic concepts and applications in each module. MatLab: Principles and practice in its uses, script and function modules, basic approaches to solving problems. Statistics: Correlation, means, dispersion, precision, accuracy, distributions, central limit theorem, skewness, probability, Chi-Square, Gaussian and other common distributions used in hypothesis testing. Regression: Random and grid search methods, basic least squares and algorithms applicable to regression, inversion and parameter estimation. Signal Processing: Analog and digital signals, Z-transform, Fourier series, fast Fourier transforms, spectral analysis leakage and bias, digital filtering. Students taking the graduate version complete different assignments."
1483,"Provides understanding of the Earth System most relevant to production of our planet's natural energy resources, including the physics, chemistry, and biology of conventional and alternative energy sources. Includes a broad overview of traditional and alternative energy sources: hydrocarbons (conventional and unconventional), nuclear, geothermal, hydroelectric, and wind and tides, along with their potentials and limitations. Develops detailed knowledge of the formation, concentration, and production of fossil and nuclear fuels, as well as the waste products associated with their consumption. An examination of conventional and alternative energy sources includes the environmental issues associated with the exploitation of these resources, both regional and global."
1484,"See description under subject 1.018A[J]."
1485,"See description under subject 1.018B[J]."
1486,"Introduction to mathematical and physical models of environmental processes. Emphasis on the development of macroscopic continuum or statistical descriptions of complex microscopic dynamics. Problems of interest include: random walks and statistical geometry of landscapes; percolation theory and transport in disordered media; fractals, scaling, and universality; ecological dynamics and the structure of ecosystems, food webs, and other natural networks; kinetics of biogeochemical cycles. Appropriate for advanced undergraduates. Beginning graduate students are encouraged to register for 12.586. Students taking the graduate version complete different assignments."
1487,"Empty text. This is a test"
1488,"Laboratory or field work in earth, atmospheric, and planetary sciences. Consult with department Education Office."
1489,"Empty text. This is a test"
1490,"Laboratory or field work in geology and geochemistry. To be arranged with department faculty. Consult with department Education Office."
1491,"Empty text. This is a test"
1492,"Laboratory or field work in geophysics. To be arranged with department faculty. Consult with department Education Office."
1493,"Empty text. This is a test"
1494,"Laboratory or field work in atmospheric science and oceanography. To be arranged with department faculty. Consult with department Education Office."
1495,"Laboratory or field work in planetary science. To be arranged with department faculty. Consult with department Education Office."
1496,"Laboratory or field work in planetary science. To be arranged with department faculty. Consult with department Education Office."
1497,"The geologic record demonstrates that our environment has changed over a variety of time scales from seconds to billions of years. Explores the many ways in which geologic processes control and modify the Earth's environment. Topics include chemical and physical interactions between the solid Earth, its oceans and atmosphere; the effect of catastrophic events such as volcanic eruptions and earthquakes on the environment; geologic hazards; and our role in modifying the environment through Earth resource development. Serves as an introduction to 12.120, which addresses field applications of these principles in the American Southwest."
1498,"Focuses on low-temperature geochemistry and the Earth's biogeochemical cycles, including the biologic and inorganic chemical processes that create chemical variability and element partitioning among lithosphere, hydrosphere and atmosphere. Covers basic thermodynamics, aqueous chemistry, major and trace element geochemistry, and stable isotopic geochemistry."
1499,"Provides a comprehensive introduction to crystalline structure, crystal chemistry, and bonding in rock-forming minerals. Introduces the theory relating crystal structure and crystal symmetry to physical properties such as refractive index, elastic modulus, and seismic velocity. Surveys the distribution of silicate, oxide, and metallic minerals in the interiors and on the surfaces of planets, and discusses the processes that led to their formation."
1500,"Surveys the distribution, chemical composition, and mineral associations in rocks of the Earth's crust and upper mantle, and establishes its relation to tectonic environment. Emphasis is on the use of chemistry and physics to interpret rock forming processes. Topics include dynamics of crust and mantle melting as preserved in the chemical composition of igneous rocks and minerals, the long-term record of global climate change as preserved in the minerals of sedimentary rocks, and the time-temperature-depth record preserved in minerals of metamorphosed crustal rocks."
1501,"Studies sediments in the rock cycle; production of sediments at the Earth's surface; physics and chemistry of sedimentary materials; scale and geometry of near-surface sedimentary bodies, including aquifers; sediment transport and deposition in modern sedimentary environments; and burial and lithification. Surveys major sedimentary rock types. Also covers stratigraphic relationships of sedimentary basins, and evolution of sedimentary processes through geologic time. Includes two or three weekend days of field trips. Students taking graduate version complete additional assignments."
1502,"Introduces mechanics of rock deformation. Discusses recognition, interpretation, and mechanics of faults, folds, structural features of igneous and metamorphic rocks, and superposed deformations. Introduces regional structural geology and tectonics. Laboratory includes techniques of structural analysis, recognition and interpretation of structures on geologic maps, and construction of interpretive cross sections."
1503,"Introduces techniques of geological field study. Weather permitting, several weekend field exercises provide practical experience in preparation for 12.115. Presents introductory material on the regional geology of the locale of 12.115."
1504,"During January, students practice methods of modern geological field study off-campus during an intensive four-week experience. Exercises include geological and geomorphological mapping on topographic and photographic base maps of a wide variety of bedrock and surficial rocks. Where feasible, geochemical and geophysical field measurements are corrrelated with geology."
1505,"Includes in-depth laboratory analysis of samples, interpretation of geological data, and where possible, geophysical and geochemical data. Includes the preparation of reports based on the field studies conducted in 12.115 during January; report generally exceeds 30 pages in length and includes one major revision and rewrite. Instruction in writing techniques provided."
1506,"Focuses on analytical facilities that are used to determine elemental and isotopic abundances in soils, rocks, minerals, and fluids. Emphasis is on isotopic ratios Sr, Nd, and Pb, whose isotopic ratios can be used for geochronology, and abundances of trace elements such as Rb, Sr, Cu, Cd, Hg, rare-earths, Pb, Th, and U. Analytical techniques include mass spectrometry, emission spectrometry, atomic absorption, neutron activation, and electron microprobe. A major lab project utilizes these techniques to address specific environmental and geologic problems."
1507,"Field study to foster understanding of natural hazards and human influence on the environment. Class conducted in the western United States, at locations such as Death Valley and the White Mountain Research Station in Bishop California. Topics include water use and availability, climate change, earthquakes and faulting, and landslides. Also examines volcanic hazards and geothermal power, effects of river diversion, and the geology of the Yucca Mountain facility for the storage of radioactive waste. Students partially responsible for travel expenses. Designed to follow 12.001 or 12.102; other students will be accepted when space is available."
1508,"Introduction to the theory of x-ray microanalysis through the electron microprobe including ZAF matrix corrections. Techniques to be discussed are wavelength and energy dispersive spectrometry, scanning backscattered electron, secondary electron, cathodoluminescence, and x-ray imaging. Lab sessions involve use of the electron microprobe."
1509,"Covers all aspects of molecular biosignatures, such as their pathways of lipid biosynthesis, the distribution patterns of lipid biosynthetic pathways with regard to phylogeny and physiology, isotopic contents, occurrence in modern organisms and environments, diagenetic pathways, analytical techniques and the occurrence of molecular fossils through the geological record. Students analyze in depth the recent literature on chemical fossils. Lectures provide background on the subject matter. Basic knowledge of organic chemistry required. Students taking graduate version complete additional assignments."
1510,"Quantitative examination of processes that shape Earth's surface. Introduction to fluvial, hillslope, and glacial mechanics. Essentials of weathering, soil formation, runoff, erosion, slope stability, sediment transport, and river morphology. Landscape evolution in response to climatic and tectonic forcing. Application of terrestrial theory to planetary surfaces. Additional instruction in geographic information systems (GIS) and remote sensing analysis, field measurement techniques, and numerical modeling of surface processes. Students taking the graduate version complete different assignments."
1511,"Studies the geology of planetary interiors and surfaces, including plate tectonics, as a unifying theory of terrestrial geology, surface processes, and the Earth's interior. Covers igneous, metamorphic, and sedimentary processes associated with tectonic settings and the typical rock suites created; mineral and rock identification; and causes of compositional differences on many scales (mineral grains, rocks, regions of the Earth, different planets). Also addresses conditions required for melting and melting processes; rock structure and field techniques; and Earth history. Treatment of these topics includes discussions of the geochemical, petrologic, geochronological, experimental, or field techniques used to investigate them; the limitations of current geological techniques and geological controversies; and major geological expeditions, experiments, and studies from the past, along with their premises and results. Students taking graduate version complete additional assignments."
1512,"Overview of basic topics in solid-earth geophysics, such as the Earth's rotation, gravity and magnetic field, seismology, and thermal structure. Formulation of physical principles presented in three one-hour lectures per week. Current applications discussed in an additional one-hour tutorial each week. Students taking graduate version complete different assignments."
1513,"See description under subject 18.354[J]."
1514,"Explores a number of alternative energy sources such as geothermal energy (heat from the Earth's interior), wind, natural gas, and solar energy. Includes a field trip to visit sites where alternative energy is being harvested or generated. Content and focus of subject varies from year to year."
1515,"Introduces the application of geophysical methods to all aspects of near-surface environmental and engineering geophysics, including the exploration for petroleum, water, and minerals. Topics include seismic, electrical, electromagnetic, ground penetrating radar, magnetics, gravity, rock physics and chemistry, borehole geophysics and the global positioning system (GPS). Uses a quantitative approach to emphasize basic principles and a physical /chemical understanding of each method. Discusses specific illustrative field examples. Lab work is mainly devoted to local field work and equipment preparation for the IAP Field Geophysics class. Students taking graduate version complete additional assignments."
1516,"Covers practical methods of modern geophysics, including the global positioning system (GPS), gravity, and magnetics. Field work is conducted in western US and includes intensive 10-day field exercise. Focuses on measurement techniques and their interpretation. Introduces the science of gravity, magnetics, and the GPS. Measures crustal structure, fault motions, tectonic deformations, and the local gravity and magnetic fields. Students perform high-precision measurements and participate in data analysis. Emphasizes principles of geophysical data collection and the relevance of these data for tectonic faulting, crustal structure, and the dynamics of the earthquake cycle. Students taking graduate version complete additional assignments."
1517,"Focuses on in-depth data analysis and development of skills needed to report results both in writing and orally. Students use data collected in 12.221 to develop written and oral reports of the results, with each student focusing on a different area. For example, students can develop the geophysical modeling or synthesis of the results into other studies in the area. The final written and oral reports are combined into a comprehensive report and presentation of the field camp and its results. Students taking graduate version complete additional assignments."
1518,"See description under subject 1.071[J]."
1519,"Introduction to climate studies, including beginnings of the solar system, time scales, and climate in human history; methods for detecting climate change, including proxies, ice cores, instrumental records, and time series analysis; physical and chemical processes in climate, including primordial atmosphere, ozone chemistry, carbon and oxygen cycles, and heat and water budgets; internal feedback mechanisms, including ice, aerosols, water vapor, clouds, and ocean circulation; climate forcing, including orbital variations, volcanism, plate tectonics, and solar variability; climate models and mechanisms of variability, including energy balance, coupled models, and global ocean and atmosphere models; and outstanding problems. Students taking the graduate version complete different assignments."
1520,"Introduction to the physics and chemistry of the atmosphere including experience with computer codes. Aerosols and theories of their formation, evolution, and removal. Gas and aerosol transport from urban to continental scales. Coupled models of radiation, transport, and chemistry. Solution of inverse problems to deduce emissions and removal rates. Emissions control technology and costs. Applications to air pollution and climate. Students taking the graduate version complete different assignments."
1521,"A laboratory subject intended to illustrate, by means of hands-on projects, the basic dynamical and physical principles which govern the general circulation of the atmosphere and the day-to-day sequence of weather events. Real-time meteorological observations are studied together with laboratory fluid experiments. Projects based on real-time observations stress the analysis and dynamical interpretation of the real phenomena, while complementary rotating tank experiments stress planning and testing of ideas in a more controlled laboratory environment. Written critical summaries of the results of each project and oral presentations are an integral part of the subject."
1522,"Basic principles of synoptic meteorology and weather forecasting. Analysis of hourly weather data and numerical weather prediction models. Regular preparation of weather forecasts."
1523,"See description under subject 1.070A[J]."
1524,"See description under subject 1.070B[J]."
1525,"See description under subject 8.292[J]."
1526,"Discusses the dynamics of the atmosphere, with emphasis on the large scale. Topics include zonally symmetric circulations and the tropical Hadley circulation; internal gravity waves; balanced flows, potential vorticity conservation and Rossby waves; stability of zonal flows; baroclinic instability and extratropical storms; tropical waves, the Walker circulation, and El Niño and the Southern Oscillation; and the role of eddies in the general circulation. Students taking graduate version complete different assignments."
1527,"Introduces the atmospheric chemistry involved in climate change, air pollution, and ozone depletion using a combination of interactive laboratory and field studies and simple computer models. Uses instruments for trace gas and aerosol measurements and methods for inferring fundamental information from these measurements. Provides instruction and practice in written and oral communication. Students taking the graduate version complete different assignments."
1528,"See description under subject 1.085[J]."
1529,"Focuses on understanding how aerosol particles form droplets or ice crystals during several atmospheric processes: determining Earth's radiative balance; heterogeneous chemistry and acid rain; understanding where, when and how much precipitation occurs. Provides tools for understanding the physics of aerosol and cloud element motion; the interaction of particles with water vapor, including phase changes and droplet and ice nucleation; the chemical composition of particles and the effect on cloud formation processes; and the effect of cloud processing on aerosol chemistry. Discusses relevant topics of contemporary interest, e.g., geoengineering and weather modification and volcanic effects. Students taking the graduate version complete different assignments."
1530,"Provides students with a scientific foundation of anthropogenic climate change and an introduction to climate models. Focuses on fundamental physical processes that shape climate (e.g. solar variability, orbital mechanics, greenhouse gases, atmospheric and oceanic circulation, and volcanic and soil aerosols) and on evidence for past and present climate change. Discusses material consequences of climate change, including sea level change, variations in precipitation, vegetation, storminess, and the incidence of disease. Examines the science behind mitigation and adaptation proposals."
1531,"See description under subject IDS.062[J]."
1532,"See description under subject 15.026[J]."
1533,"Addresses changes in the ocean, terrestrial biosphere and rocks modulation of atmospheric carbon dioxide on timescales from months to millions of years. Includes feedbacks between carbon cycle and climate. Combines hands-on data analysis with the formulation of simple models rooted in basic physical, chemical and biological principles. Students create individual &quot;toy&quot; global carbon cycle models. Students taking graduate version complete different assignments."
1534,"Examines the role of science in US and international environmental policymaking. Surveys the methods by which scientists learn about the natural world; the treatment of science by experts, advocates, the media, and the public and the way science is used in legislative, administrative and judicial decision making. Through lectures, group discussions, and written essays, students develop a critical understanding of the role of science in environmental policy. Potential case studies include fisheries management, ozone depletion, global warming, smog, and endangered species. Students taking the graduate version complete different assignments."
1535,"Introduction to the study of the solar system with emphasis on the latest spacecraft results. Subject covers basic principles rather than detailed mathematical and physical models. Topics include an overview of the solar system, planetary orbits, rings, planetary formation, meteorites, asteroids, comets, planetary surfaces and cratering, planetary interiors, planetary atmospheres, and life in the solar system."
1536,"See description under subject 8.282[J]."
1537,"Background for, and techniques of, visual observation and electronic imaging of the Moon, planets, satellites, stars, and brighter deep-space objects. Weekly outdoor observing sessions using 8-inch diameter telescopes when weather permits. Indoor sessions introduce skills necessary for observation. Introduction to contemporary observational astronomy including astronomical computing, image and data processing, and how astronomers work. Student must maintain a careful and complete written log which is graded. Consumes an entire evening each week; 100% attendance at observing sessions required to pass. Enrollment limited; priority to freshmen."
1538,"Fundamental physical and optical principles used for astronomical measurements at visible wavelengths and practical methods of astronomical observations. Topics: astronomical coordinates, time, optics, telescopes, photon counting, signal-to-noise ratios, data analysis (including least-squares model fitting), limitations imposed by the Earth's atmosphere on optical observations, CCD detectors, photometry, spectroscopy, astrometry, and time variability. Project at Wallace Astrophysical Observatory. Written and oral project reports. Limited to 18; preference to Course 8 and Course 12 majors and minors."
1539,"Individual research projects in planetary science and astrophysics, involving supervised work at Lowell Observatory in Flagstaff, AZ. Projects may include observations made using Lowell's telescope facilities. Project topics and objectives vary from year to year. Written and oral reports required. Limited to 6."
1540,"Advanced applications of physical and chemical principles to the study of the solar system. Topics include terrestrial and giant planets, meteorites, asteroids, comets, Kuiper belt objects, rings, impact craters, interiors, surfaces, atmospheres, geomagnetism, cosmochemistry, remote sensing, formation and evolution of the solar system."
1541,"Presents basic principles of planet atmospheres and interiors applied to the study of extrasolar planets. Focuses on fundamental physical processes related to observable extrasolar planet properties. Provides a quantitative overview of detection techniques. Introduction to the feasibility of the search for Earth-like planets, biosignatures and habitable conditions on extrasolar planets. Students taking graduate version complete additional assignments."
1542,"See description under subject 16.83[J]."
1543,"See description under subject 16.831[J]."
1544,"Empty text. This is a test"
1545,"Undergraduate research opportunities in Earth, Atmospheric, and Planetary Sciences."
1546,"Independent reading, laboratory, or fieldwork in Earth, Atmospheric, and Planetary Sciences. To be arranged by student and an appropriate EAPS faculty member. A written report may be required at the discretion of the advisor. Units arranged should reflect the project requirements."
1547,"Definition of and early-stage work on the thesis project. Students develop a written research proposal and begin writing the supporting text of the thesis concurrent with conducting research for the thesis project. Supervision of the writing continues into the spring term which concludes with an oral presentation of the research results."
1548,"Program of research leading to the writing of a thesis; to be arranged by the student and an appropriate MIT faculty member."
1549,"Focuses on problems of current interest in geology and geophysics; subject matter varies from term to term. Includes guest speakers from outside of EAPS. 12.441 is graded P/D/F."
1550,"Focuses on problems of current interest in planetary science; subject matter varies from term to term. Includes guest speakers from outside of EAPS. 12.443 is graded P/D/F."
1551,"Introduces the basic tools needed for data analysis and interpretation in the Geosciences, as well as other sciences. Composed of four modules, targeted at introducing students to the basic concepts and applications in each module. MatLab: Principles and practice in its uses, script and function modules, basic approaches to solving problems. Statistics: Correlation, means, dispersion, precision, accuracy, distributions, central limit theorem, skewness, probability, Chi-Square, Gaussian and other common distributions used in hypothesis testing. Regression: Random and grid search methods, basic least squares and algorithms applicable to regression, inversion and parameter estimation. Signal Processing: Analog and digital signals, Z-transform, Fourier series, fast Fourier transforms, spectral analysis leakage and bias, digital filtering. Students taking the graduate version complete different assignments."
1552,"Concentrated instruction and practice in professional writing and presentation. Topics include review of various communication styles prevalent in the field; strategies for tailoring reports, technical papers, and presentations for specific audiences; and mechanics of organization and style. Weekly assignments in writing or speaking, with peer and instructor feedback. Limited to 6."
1553,"Recognizes the educational value derived from satisfactory performance of assigned duties as a Teaching Assistant. Laboratory, field, recitation, or classroom teaching under supervision of a faculty member. Credit for this subject may not be used for any degree granted by Course 12. Total enrollment limited by availability of suitable teaching assignments."
1554,"Focuses on developing writing skills appropriate for preparing successful fellowship proposals. Includes writing practice, self-evaluation, and faculty feedback."
1555,"Focuses on problems of current interest in atmospheres, oceans, and climate; subject matter varies from term to term. Includes guest speakers from outside of EAPS. 12.449 is graded P/D/F."
1556,"Program of research leading to the writing of an SM, PhD, or ScD thesis; to be arranged by the student and an appropriate MIT faculty member."
1557,"Seminar on topics of current interest in geology and geochemistry. Required background preparation for students taking pre-doctoral general examinations in these subjects."
1558,"Applies techniques of tectonic synthesis to study the roles of particular orogenic belts in global plate tectonics. Treats different applications in different terms, so that the subject may be taken repeatedly to learn the range of orogenic responses to temporal and spatial variations of activity at plate boundaries."
1559,"A series of presentations on an advanced topic in the field of geology by the visiting William Otis Crosby lecturer. The Crosby lectureship is awarded to a distinguished international scientist each year to introduce new scientific perspectives to the MIT community. Subject content and structure vary from year to year."
1560,"Discussion of current research or advanced topics in continental tectonics, rock mechanics, or experimental structural geology."
1561,"Covers all aspects of molecular biosignatures, such as their pathways of lipid biosynthesis, the distribution patterns of lipid biosynthetic pathways with regard to phylogeny and physiology, isotopic contents, occurrence in modern organisms and environments, diagenetic pathways, analytical techniques and the occurrence of molecular fossils through the geological record. Students analyze in depth the recent literature on chemical fossils. Lectures provide background on the subject matter. Basic knowledge of organic chemistry required. Students taking graduate version complete additional assignments."
1562,"Original investigations on problems in geology, petrology, mineralogy, geochemistry, or geobiology. 12.460 is letter-graded."
1563,"Quantitative examination of processes that shape Earth's surface. Introduction to fluvial, hillslope, and glacial mechanics. Essentials of weathering, soil formation, runoff, erosion, slope stability, sediment transport, and river morphology. Landscape evolution in response to climatic and tectonic forcing. Application of terrestrial theory to planetary surfaces. Additional instruction in geographic information systems (GIS) and remote sensing analysis, field measurement techniques, and numerical modeling of surface processes. Students taking the graduate version complete different assignments."
1564,"Studies sediments in the rock cycle; production of sediments at the Earth's surface; physics and chemistry of sedimentary materials; scale and geometry of near-surface sedimentary bodies, including aquifers; sediment transport and deposition in modern sedimentary environments; and burial and lithification. Surveys major sedimentary rock types. Also covers stratigraphic relationships of sedimentary basins, and evolution of sedimentary processes through geologic time. Includes two or three weekend days of field trips. Students taking graduate version complete additional assignments."
1565,"Discussion of current research or advanced topics in landscape evolution, surface hydrology, mechanics of sediment transport, basin analysis, or experimental geomorphology. Advanced instruction in process geomorphology."
1566,"Geology of planetary interiors and surfaces, including plate tectonics, as a unifying theory of terrestrial geology, surface processes, and the Earth's interior. Igneous, metamorphic, and sedimentary processes associated with tectonic settings and the typical rock suites created. Mineral and rock identification. Causes of compositional differences on many scales: mineral grains, rocks, regions of the Earth, different planets. Conditions required for melting and melting processes. Rock structure and field techniques. Earth history. Treatment of these topics includes discussions of the geochemical, petrologic, geochronological, experimental, or field techniques used to investigate them; the limitations of current geological techniques and geological controversies; and great geological expeditions, experiments, and studies from the past, their premises, and their results. Students taking graduate version complete additional assignments."
1567,"Introduces basic concepts of microbial structure, growth, energetics, molecular biology, and biochemistry. Presents examples of microbial interactions with environments throughout Earth's history as well as current topics in astrobiology. Includes lectures, discussions of literature, and a field trip. Lab focuses on student-designed projects that involve cultivation, modeling, or sample analyses. Intended for students whose background is not in biology, but who want to learn more about the contribution of microbes to geochemistry and planetary evolution."
1568,"Introduces the study of natural remanent magnetization and the generation of planetary magnetic fields. Topics include paleomagnetism, rock magnetism, geomagnetism, magnetostratigraphy, paleomagnetic measurement techniques, polar wander and continental drift, biomagnetism, dynamo theory, and the history and evolution of magnetic fields on the Earth and planets."
1569,"Broad overview of the origin and evolution of Earth's crust and mantle with emphasis on the study of the Precambrian rock record. Topics include: processes of crustal growth, stabilization, and reactivation; evaluation of secular change; and use of radiogenic isotopes in geochronology and as tracers of crust forming processes."
1570,"First half covers basic elements of plate tectonics, including sea floor spreading, magnetic anomalies, and subduction zone. Second half covers implications of plate tectonics for continental processes, including continental rifting, continental collision, and mountain building. Emphasis will be on correlating plate tectonic and continental processes using specific examples from around the world."
1571,"Applications of the variations in the relative abundance of radiogenic isotopes to problems of petrology, geochemistry, and tectonics. Topics: geochronology; isotopic evolution of Earth's crust and mantle; petrogenesis; and analytical techniques."
1572,"Principles of thermodynamics are used to infer the physical conditions of formation and modification of igneous and metamorphic rocks. Includes phase equilibria of homogeneous and heterogeneous systems and thermodynamic modelling of non-ideal crystalline solutions. Surveys the processes that lead to the formation of metamorphic and igneous rocks in the major tectonic environments in the Earth's crust and mantle."
1573,"Introduction to the problems to be investigated in 12.482, as well as the regional setting and local geology of the field area. Various special techniques may be introduced and preparatory investigations may be conducted that are specific to the area to be studied in 12.482."
1574,"In January, a geological and geomorphological study of a selected field area is conducted during a four-week excursion. The following term includes: preparation of maps and report based on field study conducted in January; and laboratory analysis of samples."
1575,"Intensive training in field geological methods. Includes specific exercises selected to complement the backgrounds of the students enrolled and provides supervised experience in applying field analytical techniques to geological problems. Cannot be taken as a substitute for 12.115. Preference will be given to students associated with Course 12. Enrollment limited; students should apply early."
1576,"Continuation of 12.484. Designed to provide more advanced training in specific field geological methods. Can be taken during the same IAP period as 12.484. Preference will be given to students associated with Course 12. Enrollment limited; students should apply early."
1577,"Comprehensive overview of igneous rocks from the Earth, Moon, and meteorite parent bodies. Discusses the compositional diversity of igneous rocks and how it can be used to elucidate rock forming processes in the major tectonic provinces on modern Earth, including mid-ocean ridges, subduction zones, ocean islands, and inter-continental rifting environments. Also covers magma generation processes in the terrestrial planets prior to 2.6 billion years ago. Laboratory exercises on selected suites of igneous rocks reinforce readings and classroom discussions. Uses evidence from related geo-science disciplines to develop an integrative approach to understanding processes that lead to the chemical differentiation of planetary bodies through time. Subject matter may be modified to reflect the interests of the group."
1578,"Designed for bio-geo-chemists to gain a first order understanding of the origin of stable isotope effects and their application in understanding important geochemical processes on earth and planets. Includes an introduction of relevant physical chemistry, simple numerical integration methods of time-forward modeling to solve isotope systematics of complex systems, and discussion of the latest as well as classic papers of the topic."
1579,"See description under subject 7.493[J]."
1580,"Overview of basic topics in solid-earth geophysics, such as the Earth's rotation, gravity and magnetic field, seismology, and thermal structure. Formulation of physical principles presented in three one-hour lectures per week. Current applications discussed in an additional one-hour tutorial each week. Students taking graduate version complete different assignments."
1581,"Introduces the application of geophysical methods to all aspects of near-surface environmental and engineering geophysics, including the exploration for petroleum, water, and minerals. Topics include seismic, electrical, electromagnetic, ground penetrating radar, magnetics, gravity, rock physics and chemistry, borehole geophysics and the global positioning system (GPS). Uses a quantitative approach to emphasize basic principles and a physical /chemical understanding of each method. Discusses specific illustrative field examples. Lab work is mainly devoted to local field work and equipment preparation for the IAP Field Geophysics class. Students taking graduate version complete additional assignments."
1582,"A basic study in seismology and the utilization of seismic waves for the study of Earth's interior. Introduces techniques necessary for understanding of elastic wave propagation in stratified media and for calculation of synthetic seismograms (WKBJ and mode summation). Ray theory; interpretation of travel times. (e.g., tomography); surface wave dispersion in layered media; Earth's free oscillations; and seismicity, (earthquake locations, magnitude, moment, and source properties)."
1583,"Covers practical methods of modern geophysics, including the global positioning system (GPS), gravity, and magnetics. Field work is conducted in western US and includes intensive 10-day field exercise. Focuses on measurement techniques and their interpretation. Introduces the science of gravity, magnetics, and the GPS. Measures crustal structure, fault motions, tectonic deformations, and the local gravity and magnetic fields. Students perform high-precision measurements and participate in data analysis. Emphasizes principles of geophysical data collection and the relevance of these data for tectonic faulting, crustal structure, and the dynamics of the earthquake cycle. Students taking graduate version complete additional assignments."
1584,"Focuses on in-depth data analysis and development of skills needed to report results both in writing and orally. Students use data collected in 12.511 to develop written and oral reports of the results, with each student focusing on a different area. For example, students can develop the geophysical modeling or synthesis of the results into other studies in the area. The final written and oral reports are combined into a comprehensive report and presentation of the field camp and its results. Students taking graduate version complete additional assignments."
1585,"Surveys a number of methods of inverting data to obtain model parameter estimates. Topics include review of matrix theory and statistics, random and grid-search methods, linear and non-linear least squares, maximum-likelihood estimation, ridge regression, stochastic inversion, sequential estimation, singular value decomposition, solution of large systems, genetic and simulated annealing inversion, regularization, parameter error estimates, and solution uniqueness and resolution. Computer laboratory and algorithm development."
1586,"Mechanics of deformation of the crust and mantle, with emphasis on the importance of different rheological descriptions: brittle, elastic, linear and nonlinear fluids, and viscoelastic."
1587,"Introduces theory, design, and practical methods of computational modeling in geodynamics and geophysical fluid dynamics. Covers the most effective and widely used numerical modeling approaches (e.g., boundary element, finite difference, finite element) and emphasizes problem-solving skills through illustrative examples of heat and mass transfer in the mantle and the ocean. Students acquire experience with various numerical methods through regularly assigned computational exercises and a term-long modeling project of each student's choice."
1588,"Treats heat transfer and fluid mechanics in the Earth, low Reynolds number flows, convection instability, double diffusion, Non-Newtonian flows, flow in porous media, and the interaction of flows with accreting and deforming boundaries. Applications include: the flow under plates, postglacial rebound, diapirism, magma dynamics, and the mantle convection problem."
1589,"A survey of the mechanical behavior of rocks in natural geologic situations. Topics: brief survey of field evidence of rock deformation, physics of plastic deformation in minerals, brittle fracture and sliding, and pressure-solution processes. Results of field petrologic and structural studies compared to data from experimental structural geology."
1590,"Explores the fundamental mechanics of faulting and earthquakes from four related perspectives: seismology, geodesy, geodynamics, and rheology. Topics to be covered include (1) the physical processes that control the rheology of faults, including friction and fracture, (2) how these rheological processes are manifest in faulting and earthquakes in the earth from a geodynamics perspective, and (3) how the mechanics of faulting and earthquakes are constrained by seismological and geodetic observations. Both continental and oceanic examples of faulting and earthquakes will be featured."
